Title,Score,Release_Date,Episodes,Genres,Studios,Era_Category
Jueshi Zhan Hun 2nd Season,,2026-06-09,100,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']","['Zhonghui Donghua', 'Sanjie Donghua']",Recent/Airing
Kai Pai La! Guaishou Da Dianying,,2026-04-24,12,"['Comedy', 'Supernatural']",['HuaMei Animation'],Recent/Airing
Kaixin Chui Chui,,2015,0,['Comedy'],[],Recent/Airing
Kamiusagi Rope (ONA),,2013-07-15,0,"['Anthropomorphic', 'Comedy']",[],Recent/Airing
Kamiusagi Rope x TOHO Cinemas,,2009-11-05,0,['Comedy'],[],Recent/Airing
Kamiusagi Rope x TOHO Cinemas (Movies),,2014-01-11,0,['Comedy'],[],Recent/Airing
Keito no Yousei: Knit to Wool,,2015-08-24,0,"['Fantasy', 'Kids']",[],Recent/Airing
Keshikko,,2019-01-07,0,"['Kids', 'Music']",[],Recent/Airing
Kidou Keisatsu Patlabor: EZY,,2026-05-15,8,"['Comedy', 'Mecha', 'Sci-Fi', 'Workplace']",['J.C.Staff'],Recent/Airing
Kodomo datte Tsurai yo,,2019-07-02,0,"['Kids', 'Slice of Life']",['Kate Arrow'],Recent/Airing
Konigiri-kun,,2015-02-20,0,['Kids'],[],Recent/Airing
Kumarba Season 3,,2026-04-12,0,['Kids'],['Akatsuki Media Studio'],Recent/Airing
Leer he Guoguo,,2020-09-04,0,"['Comedy', 'Romance']",[],Recent/Airing
Looney Tunes Gokko,,2026-04-30,0,"['Anthropomorphic', 'Comedy', 'Pets']","['Fanworks', 'Studio Nanahoshi']",Recent/Airing
Manul no Yuube,,2018-11-11,0,['Slice of Life'],[],Recent/Airing
Matatabi Movie Labo,,2020-08-01,0,"['Anthropomorphic', 'Comedy', 'Gag Humor']",[],Recent/Airing
Matsuo no Anime,,2019-09-29,0,"['Anthropomorphic', 'Comedy']",[],Recent/Airing
Metal Cardbot W,,2025-12-04,26,"['Action', 'Kids', 'Sci-Fi']",[],Recent/Airing
Mori no Ratio,,2010-03-26,0,"['Adventure', 'Fantasy', 'Kids']",[],Recent/Airing
Mouse Doubutsuen,,2016-08-29,0,['Comedy'],['Pollyanna Graphics'],Recent/Airing
Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,,2020-06-14,0,"['Fantasy', 'Kids']",['Oddjob'],Recent/Airing
Nandemo Bakukai! Koyori-chan,,2023-08-17,0,['Comedy'],[],Recent/Airing
Naui Bimilchingu Haechi,,2025-10-08,0,"['Comedy', 'Fantasy', 'Kids']",[],Recent/Airing
Nezumi-kun no Chokki (TV),,2026-04-04,0,"['Anthropomorphic', 'Fantasy', 'Kids']",[],Recent/Airing
Ninja Box 3rd Season,,2020-03-26,0,"['Action', 'Comedy', 'Fantasy', 'Kids']",[],Recent/Airing
Nintama Rantarou no Uchuu Daibouken with Cosmic Front☆Next,,2016-02-11,0,"['Adventure', 'Comedy', 'Kids', 'Space']",['Ajia-do'],Recent/Airing
Nitian Xie Shen: Nian Fan,,2026-04-16,52,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']",['Foch Film'],Recent/Airing
Nui Story 2,,2024-10-19,0,['Comedy'],['Piso Studio'],Recent/Airing
Nyan Dere,,2025-07-25,0,"['Anthropomorphic', 'Slice of Life']",[],Recent/Airing
Nyanchus,,2024-04-05,0,"['Anthropomorphic', 'Kids', 'Sci-Fi', 'Space']",['Fugaku'],Recent/Airing
Odekake Kozame 2nd Season,,2026-04-12,0,"['Anthropomorphic', 'Slice of Life']",['ENGI'],Recent/Airing
Oidon to,,2015-12-02,0,"['Kids', 'Sports']",[],Recent/Airing
Onaka ga Guuguu Island,,2024-09-25,0,"['Anthropomorphic', 'Fantasy', 'Gourmet']",['Tsumupapa'],Recent/Airing
Origami Ninja Koyankinte,,2020-04-07,0,"['Comedy', 'Kids']",['Directions'],Recent/Airing
