Rank,Title,Volume,Yearly sales
119,Slam Dunk,#20 New Edition,216114
120,Bocchi the Rock!,#1,215891
121,Natsume's Book of Friends,#29,215011
122,Honey Lemon Soda,#21,214244
123,Oni no Hanayome,#2,211985
124,Jujutsu Kaisen,#19,211829
125,Slam Dunk,#2 New Edition,211459
126,What Did You Eat Yesterday?,#21,211360
127,Five Star Monogatari,#17,211251
128,Welcome to Demon School! Iruma-kun,#31,211107
129,Slam Dunk,#19 New Edition,209251
130,Slam Dunk,#18 New Edition,206765
131,Slam Dunk,#17 New Edition,206541
132,Slam Dunk,#16 New Edition,206497
133,Welcome to Demon School! Iruma-kun,#32,204315
134,Chiikawa,#5,204293
135,Slam Dunk,#3 New Edition,203403
136,Bocchi the Rock!,#5,201696
137,Record of Ragnarok,#19,200764
138,Daemons of the Shadow Realm,#5,200321
139,Bocchi the Rock!,#2,200105
140,Slam Dunk,#15 New Edition,199464
141,Uma Musume: Cinderella Gray,#9,199041
142,Slam Dunk,#4 New Edition,198307
143,Slam Dunk,#5 New Edition,197814
144,Hikaru ga Shinda Natsu,#2,197412
145,Kimetsu Gakuen!,#3,197162
146,Spy x Family,#9,197014
147,Slam Dunk,#6 New Edition,195668
148,Frieren: Beyond Journey's End,#1,195542
149,Rurouni Kenshin: Hokkaido Arc,#8,195275
150,Bocchi the Rock!,#3,194683
151,Welcome to Demon School! Iruma-kun,#33,193193
152,Slam Dunk,#7 New Edition,192811
153,Chiikawa,#1,191296
154,Honey Lemon Soda,#22,191219
155,"Katainaka no Ossan, Kensei ni Naru",#3,190787
156,Campfire Cooking in Another World with My Absurd Skill,#9,190607
157,Kaiju No. 8,#8,190273
158,Slam Dunk,#8 New Edition,190173
159,In the Clear Moonlit Dusk,#6,189860
160,Slam Dunk,#9 New Edition,188792
161,Space Brothers,#43,187690
162,Slam Dunk,#10 New Edition,187544
163,Slam Dunk,#14 New Edition,186870
164,Tokyo Revengers - Baji Keisuke kara no Tegami,#1,186728
165,Bungo Stray Dogs,#23,186618
166,Ao Ashi,#33,186503
167,Slam Dunk,#11 New Edition,186204
168,Mix,#20,185685
169,Dragon Ball Super,#21,185539
170,The Fable - The Second Contact,#6,185232
171,Slam Dunk,#13 New Edition,185212
172,Slam Dunk,#12 New Edition,184864
173,Blue Box,#8,182764
174,Frieren: Beyond Journey's End,#9,182709
175,Hikaru ga Shinda Natsu,#1,182612
176,Spy x Family,#8,181940
177,Oni no Hanayome,#3,181619
178,Bocchi the Rock!,#4,180796
179,Spy x Family,#1,180489
180,Berserk,#42,179751
181,My Hero Academia,#36,179184
182,Frieren: Beyond Journey's End,#2,179050
183,The Fable - The Second Contact,#7,175969
184,Blue Box,#9,175721
185,Frieren: Beyond Journey's End,#3,175578
186,Uma Musume: Cinderella Gray,#10,175521
187,Sakamoto Days,#10,175200
188,Blue Lock - Episode Nagi,#3,174140
189,Natsume's Book of Friends,#30,173938
190,Tokyo Revengers - Baji Keisuke kara no Tegami,#3,173163
191,Blue Period,#13,172354
192,Welcome to Demon School! Iruma-kun,#34,171889
193,Spy x Family,#7,171346
194,Honey Lemon Soda,#23,170875
195,Ace of Diamond Act II,#32,169496
196,Frieren: Beyond Journey's End,#4,169133
197,Tokyo Revengers,#29,168115
198,Arslan Senki,#18,168105
199,Black Clover,#34,166126
200,Chihayafuru,#50,166046
