Rank,Title,Volume,Yearly sales
1,One Piece,#105,1912008
2,Jujutsu Kaisen,#21,1777867
3,One Piece,#106,1690973
4,Jujutsu Kaisen,#22,1643782
5,Jujutsu Kaisen,#23,1456419
6,Spy x Family,#11,1393917
7,One Piece,#107,1300580
8,Jujutsu Kaisen,#24,1191177
9,Spy x Family,#12,1042514
10,Tokyo Revengers,#31,914042
11,My Hero Academia,#37,790758
12,Chainsaw Man,#13,744238
13,My Hero Academia,#38,702953
14,Kingdom,#67,664956
15,Kingdom,#68,630320
16,Kingdom,#69,598761
17,Blue Lock,#22,591562
18,Chainsaw Man,#14,587873
19,That Time I Got Reincarnated as a Slime,#22,560718
20,Blue Lock,#23,545454
21,Oshi no Ko,#10,529138
22,Tokyo Revengers,#30,526407
23,Oshi no Ko,#11,520936
24,Don't Call it Mystery,#12,518149
25,That Time I Got Reincarnated as a Slime,#23,507961
26,Kaiju No. 8,#9,505921
27,My Hero Academia,#39,492648
28,Blue Lock,#24,483803
29,Oshi no Ko,#12,480499
30,The First Slam Dunk re:Source,#1,473852
31,Detective Conan,#103,454505
32,Frieren: Beyond Journey's End,#10,448465
33,The Apothecary Diaries,#11,445602
34,Chainsaw Man,#15,443242
35,Oshi no Ko,#1,442445
36,March Comes In like a Lion,#17,437835
37,One Piece,#104,437349
38,Don't Call it Mystery,#13,435661
39,That Time I Got Reincarnated as a Slime,#24,431702
40,Oshi no Ko,#5,426318
41,World Trigger,#26,416641
42,Oshi no Ko,#9,416636
43,Oshi no Ko,#4,415404
44,Blue Lock,#21,415272
45,Frieren: Beyond Journey's End,#11,415109
46,Blue Lock,#12,410687
47,Blue Lock,#13,409092
48,Oshi no Ko,#6,406519
49,Blue Lock,#14,404422
50,Blue Lock,#20,403163
51,Oshi no Ko,#7,402769
52,Blue Lock,#19,401703
53,Blue Lock,#15,401123
54,Blue Lock,#17,400639
55,Blue Lock,#16,398023
56,Oshi no Ko,#8,397736
57,Blue Lock,#25,397435
58,Blue Lock,#18,396819
59,Kaiju No. 8,#10,396012
60,Blue Lock,#1,394072
61,Oshi no Ko,#2,392642
62,Blue Lock,#11,379639
63,Blue Lock,#2,376401
64,The Apothecary Diaries,#12,374444
65,Chainsaw Man,#12,372050
66,Oshi no Ko,#3,367197
67,Blue Lock,#10,365514
68,Spy x Family,#10,365089
69,Blue Lock,#3,363001
70,Blue Lock,#9,362859
71,Blue Lock,#8,361497
72,Blue Lock,#26,360763
73,Blue Lock,#6,359223
74,Blue Lock,#7,355506
75,Blue Lock,#5,353902
76,Blue Lock,#4,352185
77,One-Punch Man,#28,340033
78,Jujutsu Kaisen,#20,337261
79,My Dress-Up Darling,#11,304946
80,Kingdom,#70,302772
81,My Happy Marriage,#4,302412
82,Chainsaw Man,#6,299821
83,Chainsaw Man,#10,298074
84,Chainsaw Man,#7,297829
85,Record of Ragnarok,#17,297706
86,Chainsaw Man,#11,297522
87,Chainsaw Man,#5,295914
88,Chainsaw Man,#8,295892
89,Chainsaw Man,#1,294861
90,Chainsaw Man,#9,294700
91,Toilet-Bound Hanako-kun,#19,290127
92,Detective Conan,#104,289553
93,JoJo's Bizarre Adventure Part 9: The JoJoLands,#1,280201
94,Chainsaw Man,#4,277439
95,Chainsaw Man,#2,276870
96,Onna no Sono no Hoshi,#3,276781
97,Chainsaw Man,#3,272293
98,Blue Lock - Episode Nagi,#2,271479
99,Kaguya-sama: Love is War,#28,267202
100,Blue Lock - Episode Nagi,#1,265388
101,Drifters,#7,262178
102,Daemons of the Shadow Realm,#3,256809
103,Tokyo Revengers - Baji Keisuke kara no Tegami,#2,251343
104,Black Butler,#33,251296
105,My Dress-Up Darling,#12,249280
106,Hikaru ga Shinda Natsu,#3,242484
107,Ao Ashi,#31,242230
108,Dragon Ball Super,#20,239810
109,Space Brothers,#42,235371
110,Record of Ragnarok,#18,235296
111,Zatch Bell!! 2,#2,234231
112,Daemons of the Shadow Realm,#4,233121
113,One-Punch Man,#29,231588
114,Super no Ura de Yani Suu Futari,#2,228195
115,Ao Ashi,#32,224566
116,Yamada-kun to Lv999 no Koi wo Suru,#7,224345
117,Welcome to Demon School! Iruma-kun,#30,223114
118,Slam Dunk,#1 New Edition,221544
