Rank,Title,Volume,Yearly sales
1,One Piece,#111,1370154
2,Jujutsu Kaisen,#30,1329993
3,Jujutsu Kaisen,#29,1298880
4,One Piece,#112,1217769
5,My Hero Academia,#42,977955
6,Spy x Family,#15,802206
7,One Piece,#113,796155
8,Spy x Family,#16,633932
9,Kingdom,#74,583210
10,The Apothecary Diaries,#15,566342
11,Frieren: Beyond Journey's End,#14,563226
12,Kingdom,#75,557355
13,Kingdom,#76,519621
14,Kingdom,#77,444116
15,Kaiju No. 8,#15,429632
16,Yotsuba to!,#16,422312
17,That Time I Got Reincarnated as a Slime,#28,417464
18,World Trigger,#28,408081
19,That Time I Got Reincarnated as a Slime,#29,382001
20,Don't Call it Mystery,#15,379750
21,Detective Conan,#107,376917
22,March Comes In like a Lion,#18,375780
23,One Piece,#110,372411
24,Kaiju No. 8,#16,368721
25,Blue Lock,#32,362280
26,Oshi no Ko,#16,361901
27,Blue Lock,#33,332663
28,My Dress-Up Darling,#15,331659
29,That Time I Got Reincarnated as a Slime,#30,330332
30,My Dress-Up Darling,#14,308910
31,Chainsaw Man,#19,296994
32,Blue Lock,#34,290886
33,Jujutsu Kaisen,#28,284387
34,Toilet-Bound Hanako-kun,#23,274027
35,One-Punch Man,#33,267749
36,Blue Lock,#35,255677
37,Chainsaw Man,#20,252266
38,Dandadan,#18,250738
39,Blue Box,#18,241312
40,One-Punch Man,#34,240985
41,Toilet-Bound Hanako-kun,#24,236557
42,Hikaru ga Shinda Natsu,#6,232215
43,Chainsaw Man,#21,229898
44,Dandadan,#19,228935
45,Kagurabachi,#5,222759
46,Thus Spoke Rohan Kishibe,#3,222439
47,Blue Box,#19,222122
48,JoJo's Bizarre Adventure Part 9: The JoJoLands,#5,219088
49,Chiikawa,#7,218261
50,Dandadan,#20,209597
