Title,Score,Release_Date,Volumes,Genres,Authors,Era_Category
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,8.49,2019-06-14,0,"['Comedy', 'Romance']","['Hazano Kazutake', 'Hanekoto', 'Saeki-san']",All-Time
Villains Are Destined to Die,8.49,2020-05-01,0,"['Drama', 'Fantasy', 'Reverse Harem', 'Romance', 'Villainess']","['Gyeoeul Gwon', 'SUOL']",All-Time
Mayonaka Heart Tune,8.49,2023-09-20,0,"['Comedy', 'Eligible Titles for You Should Read This', 'Harem', 'Romance', 'School', 'Shounen']",['Masakuni Igarashi'],Both Eras
Watashitachi no Shiawase na Jikan,8.49,2008-03-28,1,"['Drama', 'Music', 'Psychological', 'Romance', 'Seinen']",['Sumomo Yumeka'],Both Eras
Sotsugyousei,8.49,2008-01-25,2,"['Boys Love', 'Drama']",['Asumiko Nakamura'],Both Eras
JoJo no Kimyou na Bouken Part 8: JoJolion,8.49,2011-05-19,27,"['Action', 'Adventure', 'Award Winning', 'Mystery', 'Seinen', 'Supernatural']",['Hirohiko Araki'],Both Eras
Given,8.49,2013-04-30,9,"['Boys Love', 'Drama', 'Music', 'School']",['Natsuki Kizu'],Both Eras
Kyou kara Ore wa!!,8.48,1988,38,"['Action', 'Comedy', 'Delinquents', 'School', 'Shounen']",['Hiroyuki Nishimori'],Both Eras
Spirit Circle,8.48,2012-05-30,6,"['Action', 'Adventure', 'Comedy', 'Drama', 'Reincarnation', 'Romance', 'Seinen', 'Supernatural']",['Satoshi Mizukami'],Both Eras
Kakukaku Shikajika,8.48,2011-11-28,5,"['Award Winning', 'Josei', 'Memoir', 'Otaku Culture', 'Slice of Life', 'Visual Arts']",['Akiko Higashimura'],Both Eras
"Ohayou, Ibarahime",8.48,2014-11-22,6,"['Romance', 'Shoujo', 'Supernatural']",['Megumi Morino'],Both Eras
Spirit Fingers,8.48,2015-05-16,13,"['Comedy', 'Romance', 'Slice of Life']",['Kyoung-chal Han'],All-Time
Yubisaki to Renren,8.48,2019-07-24,0,"['Adult Cast', 'Eligible Titles for You Should Read This', 'Romance', 'Shoujo']",['Suu Morishita'],Both Eras
Return of the Blossoming Blade,8.48,2021-03-23,0,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Reincarnation']","['LICO', 'Biga']",All-Time
Xiao Mogu,8.48,2023-08-17,0,"['Boys Love', 'Psychological', 'Sci-Fi']","['Yishisi Zhou', 'Maomao Tou']",All-Time
Toshokan no Daimajutsushi,8.47,2017-11-07,0,"['Eligible Titles for You Should Read This', 'Fantasy', 'Seinen']",['Mitsu Izumi'],Both Eras
Kage no Jitsuryokusha ni Naritakute!,8.47,2018-11-05,0,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation']","['Touzai', 'Daisuke Aizawa']",All-Time
Here U Are,8.47,2017-11-22,0,"['Boys Love', 'Drama', 'School', 'Slice of Life']",['D Jun'],All-Time
Souyaku Toaru Majutsu no Index,8.47,2020-02-07,0,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi', 'Super Power', 'Supernatural']","['Kazuma Kamachi', 'Kiyotaka Haimura']",All-Time
Haruka Tooki Ie,8.47,2020-09-19,1,"['Boys Love', 'Drama']",['Teki Yatsuda'],Both Eras
"Natsu e no Tunnel, Sayonara no Deguchi",8.47,2019-07-18,1,"['Drama', 'Mystery', 'Romance', 'Supernatural']","['Mei Hachimoku', 'Kukka']",All-Time
Lost in the Cloud,8.47,2020-11-20,0,"['Boys Love', 'Psychological', 'School']",['Pas Kim'],All-Time
Cross Game,8.47,2005-09-02,17,"['Award Winning', 'Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Sports', 'Team Sports']",['Mitsuru Adachi'],Both Eras
Glass no Kamen,8.47,1976-01,49,"['Drama', 'Performing Arts', 'Romance', 'Shoujo', 'Showbiz']",['Suzue Miuchi'],Both Eras
Rainbow: Nisha Rokubou no Shichinin,8.47,2002-11-21,22,"['Award Winning', 'Delinquents', 'Drama', 'Historical', 'Psychological', 'Seinen']","['George Abe', 'Masasumi Kakizaki']",Both Eras
Hinamatsuri,8.47,2010-06-15,19,"['Childcare', 'Comedy', 'Organized Crime', 'Seinen', 'Supernatural']",['Masao Ohtake'],Both Eras
Chikan Otoko,8.47,2004,0,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",['Takuma Yokota'],Both Eras
Bungou Stray Dogs,8.47,2012-12-04,0,"['Action', 'Detective', 'Eligible Titles for You Should Read This', 'Mystery', 'Seinen', 'Supernatural']","['Kafka Asagiri', 'Harukawa35']",Both Eras
Tensei shitara Slime Datta Ken,8.47,2014-05-30,23,"['Fantasy', 'Isekai', 'Reincarnation']","['Mitz Vah', 'Fuse']",Both Eras
Berserk: Shinen no Kami 2,8.47,1996-07-12,0,['Seinen'],['Kentarou Miura'],All-Time
Vanitas no Karte,8.47,2015-12-22,0,"['Eligible Titles for You Should Read This', 'Fantasy', 'Historical', 'Shounen', 'Urban Fantasy', 'Vampire']",['Jun Mochizuki'],Both Eras
Eyeshield 21,8.46,2002-07-23,37,"['Shounen', 'Sports', 'Team Sports']","['Riichiro Inagaki', 'Yusuke Murata']",Both Eras
Tobaku Mokushiroku Kaiji,8.46,1996-02-10,13,"['Adult Cast', 'Award Winning', 'Drama', 'High Stakes Game', 'Seinen', 'Strategy Game']",['Nobuyuki Fukumoto'],Both Eras
Kami nomi zo Shiru Sekai,8.46,2008-04-09,26,"['Comedy', 'Fantasy', 'Harem', 'Otaku Culture', 'Romance', 'School', 'Shounen', 'Supernatural']",['Tamiki Wakaki'],Both Eras
Shiori Experience: Jimi na Watashi to Hen na Ojisan,8.46,2013-10-25,0,"['Comedy', 'Music', 'School', 'Seinen', 'Supernatural']","['Yu-Ko Osada', 'Kazuya Machida']",Recent/Serialized
Shimanami Tasogare,8.46,2015-03-06,4,"['Drama', 'Psychological', 'Seinen', 'Slice of Life']",['Yuuki Kamatani'],Recent/Serialized
Yuukoku no Moriarty,8.46,2016-08-04,0,"['Adult Cast', 'Eligible Titles for You Should Read This', 'Historical', 'Mystery', 'Psychological', 'Shounen', 'Suspense']","['Ryousuke Takeuchi', 'Hikaru Miyoshi']",Recent/Serialized
blanc,8.46,2018-02-28,2,"['Boys Love', 'Drama', 'Slice of Life']",['Asumiko Nakamura'],Recent/Serialized
Spy x Family,8.46,2019-03-25,0,"['Action', 'Childcare', 'Comedy', 'Shounen']",['Tatsuya Endou'],Recent/Serialized
Hirano to Kagiura,8.45,2019-03-15,0,"['Boys Love', 'Josei', 'School', 'Slice of Life']",['Shou Harusono'],Recent/Serialized
Dragon Ball,8.45,1984-11-20,42,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",['Akira Toriyama'],Recent/Serialized
Doraemon,8.45,1969-12,45,"['Adventure', 'Anthropomorphic', 'Award Winning', 'Comedy', 'Kids', 'School', 'Sci-Fi', 'Shounen', 'Slice of Life']",['Fujio F. Fujiko'],Recent/Serialized
Holyland,8.44,2000-10-13,18,"['Action', 'Delinquents', 'Martial Arts', 'Psychological', 'Seinen']",['Kouji Mori'],Recent/Serialized
Barakamon,8.44,2008-02-22,20,"['Childcare', 'Comedy', 'Iyashikei', 'Shounen', 'Slice of Life', 'Visual Arts']",['Satsuki Yoshino'],Recent/Serialized
Look Back,8.44,2021-07-19,1,"['Drama', 'Shounen']",['Tatsuki Fujimoto'],Recent/Serialized
Sensou Kyoushitsu,8.44,2022-06-03,0,"['Action', 'Eligible Titles for You Should Read This', 'Fantasy', 'Military', 'Shounen']","['Higoro Toumori', 'Mozuku Sora']",Recent/Serialized
Love Bullet,8.43,2023-10-05,0,"['Action', 'Drama', 'Eligible Titles for You Should Read This', 'Girls Love', 'Reincarnation', 'Seinen', 'Supernatural']",['inee'],Recent/Serialized
21st Century Boys,8.43,2006-12-25,2,"['Award Winning', 'Drama', 'Mystery', 'Psychological', 'Sci-Fi', 'Seinen']",['Naoki Urasawa'],Recent/Serialized
Basara,8.43,1990-08-11,27,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance', 'Shoujo']",['Yumi Tamura'],Recent/Serialized
Tobaku Hakairoku Kaiji,8.43,2000-11,13,"['Adult Cast', 'Drama', 'High Stakes Game', 'Strategy Game']",['Nobuyuki Fukumoto'],Recent/Serialized
Gekkan Shoujo Nozaki-kun,8.43,2011-08-25,0,"['Comedy', 'Otaku Culture', 'Romance', 'School']",['Izumi Tsubaki'],Recent/Serialized
Mugen no Juunin,8.42,1993-06-25,30,"['Action', 'Adventure', 'Drama', 'Historical', 'Martial Arts', 'Samurai', 'Seinen', 'Supernatural']",['Hiroaki Samura'],Recent/Serialized
Innocent Rouge,8.42,2015-05-20,12,"['Award Winning', 'Drama', 'Historical', 'Seinen']",['Shinichi Sakamoto'],Recent/Serialized
Blue Lock,8.42,2018-08-01,0,"['Award Winning', 'Shounen', 'Sports', 'Team Sports']","['Muneyuki Kaneshiro', 'Yuusuke Nomura']",Recent/Serialized
Houkago Kitaku Biyori,8.42,2023-08-01,0,"['Love Status Quo', 'Romance', 'School', 'Seinen']",['Mai Matsuda'],Recent/Serialized
Hikaru ga Shinda Natsu,8.41,2021-08-31,0,"['Horror', 'Mystery', 'Supernatural']",['Mokumokuren'],Recent/Serialized
Nodame Cantabile,8.41,2001-07-10,25,"['Adult Cast', 'Award Winning', 'Comedy', 'Josei', 'Music', 'Romance', 'Slice of Life']",['Tomoko Ninomiya'],Recent/Serialized
Kuroshitsuji,8.41,2006-09-16,0,"['Action', 'Fantasy', 'Historical', 'Mystery', 'Mythology', 'Shounen', 'Supernatural']",['Yana Toboso'],Recent/Serialized
Horimiya,8.41,2011-10-18,17,"['Romance', 'School', 'Shounen']","['Daisuke Hagiwara', 'HERO']",Recent/Serialized
My Girl,8.4,2006-06-02,5,"['Childcare', 'Drama', 'Seinen', 'Slice of Life']",['Sumomo Yumeka'],Recent/Serialized
Onanie Master Kurosawa,8.4,2007-09,4,"['Drama', 'Psychological', 'School']","['Takuma Yokota', 'Katsura Ise']",Recent/Serialized
Yuru Camp△,8.4,2015-05-23,0,"['CGDCT', 'Eligible Titles for You Should Read This', 'Iyashikei', 'Slice of Life']",['Afro'],Recent/Serialized
Kimi no Na wa.,8.4,2016-05-27,3,"['Drama', 'Seinen']","['Makoto Shinkai', 'Ranmaru Kotone']",Recent/Serialized
Kimi wa Houkago Insomnia,8.4,2019-05-20,14,"['Romance', 'School', 'Seinen']",['Makoto Ojiro'],Recent/Serialized
Dandadan,8.4,2021-04-06,0,"['Action', 'Comedy', 'Shounen', 'Supernatural']",['Yukinobu Tatsu'],Recent/Serialized
Kimi no Yoru ni Fureru,8.4,2021-08-20,1,"['Boys Love', 'Drama']",['Moyori Mori'],Recent/Serialized
"Bungou Stray Dogs: Dazai, Chuuya, Juugosai",8.4,2022-09-26,4,"['Action', 'Shounen', 'Supernatural']","['Kafka Asagiri', 'Shiwasu Hoshikawa']",Recent/Serialized
Akuyaku Reijou no Naka no Hito: Danzai sareta Tenseisha no Tame Usotsuki Heroine ni Fukushuu Itashimasu,8.39,2021-11-19,6,"['Eligible Titles for You Should Read This', 'Fantasy', 'Villainess']","['Nazuna Shiraume', 'Makiburo']",Recent/Serialized
Kininatteru Hito ga Otoko ja Nakatta,8.39,2023-04-19,0,"['Eligible Titles for You Should Read This', 'Girls Love', 'Music']",['Sumiko Arai'],Recent/Serialized
Versailles no Bara,8.39,1972-05-06,10,"['Drama', 'Historical', 'Military', 'Romance', 'Shoujo']",['Riyoko Ikeda'],Recent/Serialized
SKET Dance,8.39,2007-07-14,32,"['Award Winning', 'Comedy', 'Drama', 'School', 'Shounen']",['Kenta Shinohara'],Recent/Serialized
Nichijou,8.39,2006-06-26,0,"['Comedy', 'Gag Humor', 'School', 'Shounen']",['Keiichi Arawi'],Recent/Serialized
Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,8.39,2009-09-19,5,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Shounen']","['Kei Natsumi', 'Ryukishi07']",Recent/Serialized
xxxHOLiC,8.38,2003-02-24,19,"['Comedy', 'Drama', 'Mystery', 'Seinen', 'Supernatural']",['CLAMP'],Recent/Serialized
Azumanga Daioh,8.38,1999-01-18,4,"['CGDCT', 'Comedy', 'School', 'Slice of Life']",['Kiyohiko Azuma'],Recent/Serialized
Gunnm,8.38,1990-11,9,"['Action', 'Sci-Fi', 'Seinen']",['Yukito Kishiro'],Recent/Serialized
Kaichou wa Maid-sama!,8.38,2005-12-24,18,"['Comedy', 'Romance', 'School', 'Shoujo']",['Hiro Fujiwara'],Recent/Serialized
Imawa no Kuni no Alice,8.38,2010-11-25,18,"['Action', 'Gore', 'High Stakes Game', 'Horror', 'Psychological', 'Shounen', 'Supernatural', 'Survival', 'Suspense']",['Haro Aso'],Recent/Serialized
"Mata, Onaji Yume wo Miteita",8.38,2017-09-23,3,['Drama'],"['Idumi Kirihara', 'Yoru Sumino']",Recent/Serialized
Mairimashita! Iruma-kun: If Episode of Mafia,8.38,2023-09-12,0,"['Fantasy', 'Organized Crime', 'Shounen']",['hiroja'],Recent/Serialized
Shadows House,8.37,2018-09-06,0,"['Eligible Titles for You Should Read This', 'Fantasy', 'Mystery', 'Seinen']",['Soumatou'],Recent/Serialized
Kieta Hatsukoi,8.37,2019-06-13,9,"['Award Winning', 'Boys Love', 'Comedy', 'Romance', 'School', 'Shoujo']","['Aruko', 'Wataru Hinekure']",Recent/Serialized
Cardcaptor Sakura,8.37,1996-05-02,12,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy', 'Mahou Shoujo', 'Romance', 'Shoujo']",['CLAMP'],Recent/Serialized
Kiseijuu,8.37,1989-07-04,10,"['Action', 'Award Winning', 'Gore', 'Horror', 'Psychological', 'Sci-Fi', 'Seinen']",['Hitoshi Iwaaki'],Recent/Serialized
Piano no Mori,8.37,1998-08-05,26,"['Award Winning', 'Drama', 'Music', 'Seinen']",['Makoto Isshiki'],Recent/Serialized
Mairimashita! Iruma-kun,8.37,2017-03-02,0,"['Comedy', 'Eligible Titles for You Should Read This', 'Fantasy', 'Shounen']",['Osamu Nishi'],Recent/Serialized
Konjiki no Gash!!,8.36,2001-01-10,33,"['Action', 'Adventure', 'Award Winning', 'Comedy', 'Shounen', 'Supernatural']",['Makoto Raiku'],Recent/Serialized
Ten: Tenhou-doori no Kaidanji,8.36,1989-08,18,"['Adult Cast', 'Drama', 'Strategy Game']",['Nobuyuki Fukumoto'],Recent/Serialized
Bakuman.,8.36,2008-08-11,20,"['Comedy', 'Drama', 'Otaku Culture', 'Romance', 'Shounen']","['Takeshi Obata', 'Tsugumi Ohba']",Recent/Serialized
Noragami,8.36,2010-12-06,27,"['Action', 'Fantasy', 'Mythology', 'Shounen']",['Adachitoka'],Recent/Serialized
Boku dake ga Inai Machi,8.36,2012-06-04,9,"['Mystery', 'Psychological', 'Seinen', 'Supernatural', 'Time Travel']",['Kei Sanbe'],Recent/Serialized
Ballroom e Youkoso,8.36,2011-11-05,0,"['Comedy', 'Drama', 'Performing Arts', 'Romance', 'School', 'Shounen', 'Sports']",['Tomo Takeuchi'],Recent/Serialized
Youjo Senki,8.36,2016-04-26,0,"['Action', 'Eligible Titles for You Should Read This', 'Fantasy', 'Isekai', 'Military', 'Reincarnation']","['Chika Toujou', 'Carlo Zen']",Recent/Serialized
Blue Giant Supreme,8.36,2016-09-10,11,"['Music', 'Seinen']",['Shinichi Ishizuka'],Recent/Serialized
Teito Seihai Kitan: Fate/type Redline,8.35,2019-12-20,0,"['Action', 'Fantasy', 'Military', 'Urban Fantasy']","['Keikenchi', 'Ryouji Hirano']",Recent/Serialized
Kanata kara,8.35,1991-09-24,14,"['Adventure', 'Award Winning', 'Fantasy', 'Isekai', 'Mythology', 'Romance', 'Shoujo']",['Kyouko Hikawa'],Recent/Serialized
Touch,8.35,1981-08-05,26,"['Award Winning', 'Comedy', 'Drama', 'Love Polygon', 'Romance', 'School', 'Shounen', 'Sports', 'Team Sports']",['Mitsuru Adachi'],Recent/Serialized
Gin no Saji,8.35,2011-04-06,15,"['Award Winning', 'Comedy', 'Drama', 'School', 'Shounen']",['Hiromu Arakawa'],Recent/Serialized
Shouwa Genroku Rakugo Shinjuu,8.35,2010-03-25,10,"['Adult Cast', 'Award Winning', 'Drama', 'Josei', 'Love Polygon', 'Performing Arts']",['Haruko Kumota'],Recent/Serialized
Tomodachi Game,8.35,2013-12-09,26,"['High Stakes Game', 'Psychological', 'Shounen', 'Strategy Game', 'Suspense']","['Mikoto Yamaguchi', 'Yuuki Satou']",Recent/Serialized
Tokyo Ghoul:re,8.35,2014-10-16,16,"['Action', 'Fantasy', 'Gore', 'Horror', 'Psychological', 'Seinen', 'Urban Fantasy']",['Sui Ishida'],Recent/Serialized
Full Metal Panic! Sigma,8.34,2005-04-09,19,"['Action', 'Mecha', 'Military', 'Romance', 'Shounen']","['Shouji Gatou', 'Hiroshi Ueda']",Recent/Serialized
Homunculus,8.34,2003-03-17,15,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Seinen', 'Supernatural']",['Hideo Yamamoto'],Recent/Serialized
Black Jack,8.34,1973-11-19,25,"['Award Winning', 'Drama', 'Medical', 'Shounen']",['Osamu Tezuka'],Recent/Serialized
Takemitsuzamurai,8.34,2006-08-07,8,"['Award Winning', 'Historical', 'Martial Arts', 'Samurai', 'Seinen', 'Slice of Life']","['Taiyou Matsumoto', 'Issei Eifuku']",Recent/Serialized
Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch,8.34,2009-10-01,6,"['Drama', 'Horror', 'Mystery', 'Mythology', 'Psychological']","['Ryukishi07', 'Souichirou']",Recent/Serialized
Saiki Kusuo no Ψ-nan,8.34,2012-05-14,26,"['Comedy', 'Gag Humor', 'School', 'Shounen', 'Super Power', 'Supernatural']",['Shuuichi Asou'],Recent/Serialized
Mushishi Tokubetsu-hen: Hihamukage,8.34,2013-11-25,1,"['Fantasy', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Supernatural']",['Yuki Urushibara'],Recent/Serialized
