Title,Score,Release_Date,Volumes,Genres,Authors,Era_Category
On the Way to Meet Mom,8.83,2024-11-25,0,"['Adventure', 'Childcare', 'Fantasy']",['Gomyang'],All-Time
Akatsuki no Yona,8.83,2009-08-05,48,"['Adventure', 'Fantasy', 'Romance', 'Shoujo']",['Mizuho Kusanagi'],Both Eras
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.83,2015-01-25,33,"['Fantasy', 'Isekai', 'Reincarnation']","['You Shiina', 'Miya Kazuki']",All-Time
Nana,8.82,2000-05-26,21,"['Adult Cast', 'Award Winning', 'Drama', 'Love Polygon', 'Music', 'Romance', 'Shoujo']",['Ai Yazawa'],Both Eras
Ookami to Koushinryou,8.82,2006-02-10,0,"['Adult Cast', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Romance', 'Supernatural']","['Isuna Hasekura', 'Juu Ayakura']",Both Eras
Mushoku Tensei: Isekai Ittara Honki Dasu,8.82,2014-01-23,26,"['Fantasy', 'Isekai', 'Reincarnation']","['Rifujin na Magonote', 'Sirotaka']",All-Time
Kaze no Tani no Nausicaä,8.81,1982-10-09,7,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",['Hayao Miyazaki'],Both Eras
No Home,8.81,2018-12-31,0,"['School', 'Slice of Life']",['Wanan'],All-Time
Dungeon Meshi,8.8,2014-02-15,14,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy', 'Gourmet', 'Seinen']",['Ryouko Kui'],Both Eras
Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,8.79,2014-08-08,5,"['Drama', 'Horror', 'Mystery', 'Supernatural']","['Keika Hanada', 'Moyataro']",All-Time
Medalist,8.79,2020-05-25,0,"['Award Winning', 'Drama', 'Seinen', 'Sports']",['Tsurumaikada'],Both Eras
Veil,8.79,2019-11-15,0,"['Historical', 'Romance', 'Slice of Life']",['Ikumi Fukuda'],Both Eras
Kaoru Hana wa Rin to Saku,8.79,2021-10-21,0,"['Drama', 'Romance', 'School']",['Saka Mikami'],Both Eras
Hunter x Hunter,8.78,1998-03-03,0,"['Action', 'Adventure', 'Fantasy', 'Shounen']",['Yoshihiro Togashi'],Both Eras
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,2016-08-10,3,"['Drama', 'Romance', 'Shounen', 'Supernatural']","['Shouichi Taguchi', 'Sugaru Miaki']",Both Eras
Uchuu Kyoudai,8.76,2007-12-06,0,"['Adult Cast', 'Award Winning', 'Drama', 'Sci-Fi', 'Seinen', 'Space', 'Workplace']",['Chuuya Koyama'],Both Eras
Kono Oto Tomare!,8.76,2012-08-04,0,"['Drama', 'Music', 'School', 'Shounen']",['Amyuu Sakura'],Both Eras
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.76,2015-05-25,14,"['Drama', 'Psychological', 'School']","['Shunsaku Tomose', 'Shougo Kinugasa']",All-Time
Hajime no Ippo,8.75,1989-09-27,0,"['Award Winning', 'Combat Sports', 'Shounen', 'Sports']",['George Morikawa'],Both Eras
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.74,2011-03-18,18,"['Comedy', 'Love Polygon', 'Romance', 'School']","['Wataru Watari', 'Ponkan⑧']",All-Time
Shoujo Shuumatsu Ryokou,8.74,2014-02-21,6,"['Adventure', 'Award Winning', 'Iyashikei', 'Slice of Life']",['Tsukumizu'],Both Eras
Tongari Boushi no Atelier,8.73,2016-07-22,0,"['Fantasy', 'Seinen']",['Kamome Shirahama'],Both Eras
Kimi to Tsuzuru Utakata,8.73,2020-05-18,6,"['Girls Love', 'School']",['Yuama'],Both Eras
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.72,2020-01-24,15,"['Drama', 'Psychological', 'School']","['Shunsaku Tomose', 'Shougo Kinugasa']",All-Time
Mushishi,8.71,1999-10-08,10,"['Adult Cast', 'Award Winning', 'Fantasy', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Supernatural']",['Yuki Urushibara'],Both Eras
Zaregoto Series,8.71,2002-02-05,0,"['Action', 'Drama', 'Mystery', 'Supernatural']","['ISIN NISIO', 'Take']",All-Time
Mahoutsukai no Yoru,8.71,2012-04-12,1,"['Mystery', 'Supernatural']",['Kinoko Nasu'],All-Time
Made in Abyss,8.71,2012-10-20,0,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",['Akihito Tsukushi'],Both Eras
Beck,8.7,2000-02-17,34,"['Award Winning', 'Drama', 'Music', 'Romance', 'Shounen']",['Harold Sakuishi'],Both Eras
Usogui,8.7,2006-05-11,49,"['Action', 'High Stakes Game', 'Psychological', 'Seinen', 'Strategy Game']",['Toshio Sako'],Both Eras
Natsume Yuujinchou,8.69,2003-06-10,0,"['Drama', 'Iyashikei', 'Shoujo', 'Supernatural']",['Yuki Midorikawa'],Both Eras
Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,8.69,2011-04-13,9,"['Drama', 'Mystery', 'Psychological', 'Shounen', 'Supernatural', 'Suspense']","['Eita Mizuno', 'Ryukishi07']",Both Eras
One Punch-Man,8.69,2012-06-14,0,"['Action', 'Adult Cast', 'Comedy', 'Parody', 'Seinen', 'Super Power']","['Yusuke Murata', 'ONE']",Both Eras
Utsuro no Hako to Zero no Maria,8.69,2009-01-10,7,"['Action', 'Drama', 'Horror', 'Mystery', 'Psychological', 'Romance', 'School', 'Supernatural', 'Suspense']","['Eiji Mikage', 'Tetsuo']",All-Time
Monogatari Series: Monster Season,8.69,2017-07-20,6,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']","['ISIN NISIO', 'VOFAN']",All-Time
Ikoku Nikki,8.69,2017-06-08,11,"['Drama', 'Josei']",['Tomoko Yamashita'],Both Eras
My Bias Gets on the Last Train,8.69,2024-12-14,0,['Romance'],['Jixksee'],All-Time
Kimi no Suizou wo Tabetai,8.68,2015-06-17,1,"['Drama', 'Romance']",['Yoru Sumino'],Both Eras
The Horizon,8.68,2016-03-30,3,"['Adventure', 'Drama', 'Psychological']",['Ji-Hoon Jeong'],All-Time
Death Note,8.68,2003-12-01,12,"['Psychological', 'Shounen', 'Supernatural', 'Suspense']","['Takeshi Obata', 'Tsugumi Ohba']",Both Eras
Dorohedoro,8.68,2000-11-30,23,"['Action', 'Comedy', 'Fantasy', 'Gore', 'Horror', 'Seinen']",['Q Hayashida'],Both Eras
Ao Ashi,8.68,2015-01-05,40,"['Award Winning', 'Eligible Titles for You Should Read This', 'Seinen', 'Sports', 'Team Sports']","['Yuugo Kobayashi', 'Naohiko Ueno']",Both Eras
Koten-bu Series,8.66,2001-10-31,0,"['Adventure', 'Mystery', 'School']",['Honobu Yonezawa'],All-Time
Violet Evergarden,8.66,2015-12-25,2,"['Drama', 'Fantasy']","['Kana Akatsuki', 'Akiko Takase']",All-Time
Bungou Stray Dogs: Beast,8.66,2019-12-26,4,"['Action', 'Detective', 'Mystery', 'Shounen', 'Supernatural']","['Kafka Asagiri', 'Shiwasu Hoshikawa']",Both Eras
Yokohama Kaidashi Kikou,8.65,1994-04-25,14,"['Award Winning', 'Iyashikei', 'Sci-Fi', 'Seinen', 'Slice of Life']",['Hitoshi Ashinano'],Both Eras
Akira,8.65,1982-12-06,6,"['Action', 'Award Winning', 'Gore', 'Sci-Fi', 'Seinen']",['Katsuhiro Otomo'],Both Eras
Shinyaku Toaru Majutsu no Index,8.65,2011-03-10,23,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi', 'Super Power', 'Supernatural']","['Kazuma Kamachi', 'Kiyotaka Haimura']",All-Time
Seishun Buta Yarou Series,8.65,2014-04-10,15,"['Drama', 'Romance', 'School', 'Supernatural']","['Hajime Kamoshida', 'Keiji Mizoguchi']",All-Time
Golden Kamuy,8.65,2014-08-21,31,"['Action', 'Adventure', 'Award Winning', 'Historical', 'Seinen']",['Satoru Noda'],Both Eras
Yagate Kimi ni Naru,8.65,2015-04-27,8,"['Drama', 'Girls Love', 'School']",['Nio Nakatani'],Both Eras
Gintama,8.64,2003-12-08,77,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Hideaki Sorachi'],Both Eras
Aria,8.64,2002-02-28,12,"['Iyashikei', 'Sci-Fi', 'Shounen', 'Slice of Life']",['Kozue Amano'],Both Eras
Kozure Ookami,8.64,1970-09,28,"['Action', 'Historical', 'Samurai', 'Seinen']","['Kazuo Koike', 'Goseki Kojima']",Both Eras
Kino no Tabi: The Beautiful World,8.63,2000-03-10,0,"['Adventure', 'Drama', 'Fantasy']","['Keiichi Sigsawa', 'Kouhaku Kuroboshi']",All-Time
Ginga Eiyuu Densetsu,8.63,1982-11,10,"['Action', 'Adult Cast', 'Adventure', 'Drama', 'Military', 'Sci-Fi', 'Space']","['Yoshiki Tanaka', 'Naoyuki Katou', 'Yukihisa Kamoshita']",All-Time
ReLIFE,8.63,2013-10-12,15,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life']",['Sou Yayoi'],Both Eras
Chainsaw Man,8.63,2018-12-03,24,"['Action', 'Award Winning', 'Fantasy', 'Gore', 'Shounen', 'Urban Fantasy']",['Tatsuki Fujimoto'],Both Eras
Sayonara Eri,8.63,2022-04-11,1,"['Drama', 'Shounen']",['Tatsuki Fujimoto'],Both Eras
Pluto,8.62,2003-09-09,8,"['Action', 'Award Winning', 'Detective', 'Mystery', 'Psychological', 'Sci-Fi', 'Seinen', 'Suspense']","['Naoki Urasawa', 'Osamu Tezuka']",Both Eras
Mob Psycho 100,8.62,2012-04-18,16,"['Action', 'Award Winning', 'Comedy', 'Super Power', 'Supernatural']",['ONE'],Both Eras
Banana Fish,8.61,1985-04-13,19,"['Action', 'Adventure', 'Delinquents', 'Drama', 'Organized Crime', 'Psychological', 'Shoujo', 'Suspense']",['Akimi Yoshida'],Both Eras
Kono Subarashii Sekai ni Shukufuku wo!,8.61,2013-10-01,17,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']","['Kurone Mishima', 'Natsume Akatsuki']",All-Time
