Rank,Title,Volume,Yearly sales
166,Blue Box,#17,145033
167,Chiikawa,#6 Limited Edition,143850
168,Kaiju No. 8,#2,143630
169,Kaiju No. 8,#4,142636
170,Made in Abyss,#13,142154
171,Black Clover,#36,142120
172,The Apothecary Diaries,#1,140179
173,Kaiju No. 8,#3,140106
174,Boruto: Two Blue Vortex,#1,139758
175,Blue Period,#15,139680
176,Sakamoto Days,#17,139481
177,Arslan Senki,#21,137921
178,Makai no shuuyaku wa wareware da,#16,137906
179,Yona of the Dawn,#43,137507
180,Dandadan,#12,136487
181,Blue Lock,#26,136212
182,Gekkan Shoujo Nozaki-kun,#16,135388
183,Welcome to Demon School! Iruma-kun: IruMafia,#2,135103
184,Blue Exorcist,#31,134799
185,Blue Lock - Episode Nagi,#5,134730
186,Oni no Hanayome,#4,134600
187,Grand Blue,#22,133406
188,Dandadan,#13,132654
189,One Piece,#106,132457
190,Bungo Stray Dogs,#25,132296
191,Dungeon Meshi World Guide Perfect Edition,#1,128925
192,Skip Beat!,#50,127503
193,Firefly Wedding,#4,127371
194,Shangri-La Frontier,#16,126743
195,Jujutsu Kaisen,#19,126463
196,Dandadan,#14,125980
197,The Apothecary Diaries,#2,125905
198,Wind Breaker,#14,125785
199,MF Ghost,#19,125357
200,Wind Breaker,#18,125139
